,name,headline
0,Costa Coffee,For coffee lovers.
1,Evian,Evian. Live young.
2,Dasani,Designed to make a difference.
3,Heineken,It's all about the beer.
4,Gatorade,The Legend Continues.
5,TÃ­o Pepe,Good food tastes better after a glass of Tio Pepe
6,Tetley's Brewery,Don't Do Things By Halves.
7,Batemans Brewery,Good Honest Ales
8,Jones Soda,Run with the little guyâ¦ create some change.
9,Grapette,Thirsty or Not.
10,Jif (lemon juice),juice in a jiffy.
11,Royal Tru,Bring out the crazy!
12,Oronamin,Genki hatsuratsu.
13,Culligan,Hey Culligan!
14,Belvedere Vodka,Belvedere Always Goes Down Smoothly.
15,Wodka Gorbatschow,The Pure Spirit of Vodka.
16,White Horse (whisky),you can take a white horse anywhere.
17,Grand Old Parr,Make friends with Old Parr.
18,Clan Gregor,Royal is my race.
19,Finlandia (vodka),Vodka from a Purer Place.
20,Colgate,"Stronger, healthier gums."
21,Fanta,"Drink Fanta, stay Bamboocha."
22,Pizza Hut,Make it great.
23,Head & Shoulders,Live head first.
24,Domino's Pizza,Pizza deliver experts.
25,Ben & Jerry's,"Peace, love & ice cream."
26,Heineken,It's all about the beer.
27,Gatorade,The Legend Continues.
28,Milo,MILO Everyday!
29,Starbucks,Customize Your Cup.
30,Audi,Vorsprung durch Technik.
31,NIVEA,More evolved skincare.
32,Snickers,Get some nuts!
33,Nescafe,It all starts with a NescafÃ©.
34,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
35,Levi's Jeans,Original jeans. original people.
36,Lipton,Be more tea.
37,Dove (toiletries),The secret of beautiful hair.
38,Pampers,Discover your babyâs world.
39,Coca-Cola,Taste The Feeling.
40,Beam Suntory,"For relaxing times, make it Suntory time."
41,Live+,Sharpen Up!
42,Pussy (energy drink),100% natural.
43,Tango (drink),The Whole Fruit.
44,Tizer,The Great British Pop.
45,Dr. Enuf,Enuf is Enough!
46,ToniCol,the different soft drink.
47,Campa Cola,The Great Indian Taste.
48,Mezzo Mix,Cola Kisses orange.
49,Bluna,How Bluna are you?
50,Bionade,The official beverage of a better world.
51,Oasis (drink),Be Fruit.
52,Slice (drink),"It's orange, only twisted."
53,Rondo (soft drink),The Thirst Crusher!
54,OK Soda,Everything is going to be OK.
55,Jolt Cola,"All the sugar, twice the caffeine!"
56,Crystal Pepsi,You've never seen a taste like this.
57,Robinsons (drink),Real Fruit in Every Drop.
58,Yazoo (drink),Milk shaken up.
59,Bubble Up,"kiss of lemon, kiss of lime."
60,Colgate,"Stronger, healthier gums."
61,Fanta,"Drink Fanta, stay Bamboocha."
62,Pizza Hut,Make it great.
63,Head & Shoulders,Live head first.
64,Domino's Pizza,Pizza deliver experts.
65,Ben & Jerry's,"Peace, love & ice cream."
66,Heineken,It's all about the beer.
67,Gatorade,The Legend Continues.
68,Milo,MILO Everyday!
69,Starbucks,Customize Your Cup.
70,Audi,Vorsprung durch Technik.
71,NIVEA,More evolved skincare.
72,Snickers,Get some nuts!
73,Nescafe,It all starts with a NescafÃ©.
74,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
75,Levi's Jeans,Original jeans. original people.
76,Lipton,Be more tea.
77,Dove (toiletries),The secret of beautiful hair.
78,Pampers,Discover your babyâs world.
79,Coca-Cola,Taste The Feeling.
80,Mecca-Cola,Shake your Conscience.
81,SodaStream,Get busy with the fizzy.
82,Monster Energy,Unleash the Beast.
83,Dr. Brown's,Taste of the Town.
84,Cheerwine,Uniquely Southern.
85,Vernors,Deliciously Different.
86,Gini (soft drink),The hottest of cold drinks.
87,Moxie,Just Make It Moxie for Mine.
88,Mello Yello,Make The Mello Yello Move.
89,Limca,It's veri veri Lime & Lemoni.
90,Lilt,the totally tropical taste.
91,Inca Kola,Let's go for more.
92,Fresca,Nothing tastes like Fresca.
93,Barq's,Barq's has bite!
94,Pepsi Zero Sugar,Get Buckets.
95,Horlicks,the food drink of the night.
96,Woodroofe,Still the best lemonade made.
97,Konig's Westphalian Gin,The only perfect gin.
98,Evoca Cola,The original Black Seed Cola.
99,Jolly Cola,Free your taste.
100,Colgate,"Stronger, healthier gums."
101,Fanta,"Drink Fanta, stay Bamboocha."
102,Pizza Hut,Make it great.
103,Head & Shoulders,Live head first.
104,Domino's Pizza,Pizza deliver experts.
105,Ben & Jerry's,"Peace, love & ice cream."
106,Heineken,It's all about the beer.
107,Gatorade,The Legend Continues.
108,Milo,MILO Everyday!
109,Starbucks,Customize Your Cup.
110,Audi,Vorsprung durch Technik.
111,NIVEA,More evolved skincare.
112,Snickers,Get some nuts!
113,Nescafe,It all starts with a NescafÃ©.
114,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
115,Levi's Jeans,Original jeans. original people.
116,Lipton,Be more tea.
117,Dove (toiletries),The secret of beautiful hair.
118,Pampers,Discover your babyâs world.
119,Coca-Cola,Taste The Feeling.
120,Sunkist (soft drink),Good Vibrations.
121,Pluto Water,"When Nature Won't, PLUTO Will."
122,Shasta (soft drink),It hasta be Shasta!
123,Taut,The first clean sports drink.
124,Codorniu,The Culture of Pleasure.
125,Jacob's Creek,Say when.
126,Wolf Blass,Australian wine at its peak.
127,Sutter Home Winery,Taste the Commitment.
128,Blavod,Outrageously Smooth.
129,Patron Tequila,Simply perfect.
130,Malibu (rum),Seriously easy going.
131,Tanqueray,Ready to Tanqueray?
132,Dreher Breweries,Itâs whatâs inside that truly counts.
133,Staropramen Brewery,Get A Taste Of Prague.
134,Adnams,"Southwold, by the pint."
135,Carlton Cold,Nothingâs as fresh as a Coldie.
136,Schaefer Beer,Americaâs Oldest Lager Beer.
137,Minute Maid,Loaded with Taste.
138,Harp Lager,Look on the Harp side.
139,Poland Spring,Born Better.
140,Colgate,"Stronger, healthier gums."
141,Fanta,"Drink Fanta, stay Bamboocha."
142,Pizza Hut,Make it great.
143,Head & Shoulders,Live head first.
144,Domino's Pizza,Pizza deliver experts.
145,Ben & Jerry's,"Peace, love & ice cream."
146,Heineken,It's all about the beer.
147,Gatorade,The Legend Continues.
148,Milo,MILO Everyday!
149,Starbucks,Customize Your Cup.
150,Audi,Vorsprung durch Technik.
151,NIVEA,More evolved skincare.
152,Snickers,Get some nuts!
153,Nescafe,It all starts with a NescafÃ©.
154,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
155,Levi's Jeans,Original jeans. original people.
156,Lipton,Be more tea.
157,Dove (toiletries),The secret of beautiful hair.
158,Pampers,Discover your babyâs world.
159,Coca-Cola,Taste The Feeling.
160,Appy Fizz,Cool Drink to Hang Around With.
161,Joseph Schlitz Brewing Company,The beer that made Milwaukee famous.
162,Frooti,Juice Up your Life.
163,Cointreau,Be cointreauversial.
164,Disaronno,Taste the seduction
165,Norrlands Guld,Be yourself for a while
