,name,headline
0,Abington Memorial Hospital,The Power to Heal 
1,Acadia Hospital,Empowering People to Improve Their Lives
2,Adams Memorial Hospital,Exceptional Care Close to You
3,Adirondack Medical Center,Excellent health care... Close to home
4,Adventist Healthcare Sunbelt,Extending the Healing Ministry of Christ
5,Adventist Midwest Health,Keeping You Well
6,Affinity Medical Center,Close to you
7,AHMC Healthcare,Better Care and Better Understanding
8,Akron General Medical Center,My Health. My Life.
9,Albany Medical Center,Known for our expertise. Chosen for our care.
10,Albert Einstein Medical Center,Genius in Healthcare
11,Alegent Health,This is your healthcare
12,All Children's Hospital,"Creating healthy tomorrows...for one child, All Children "
13,Allen Memorial Hospital,The heart of your healthcare
14,Andalusia Regional Hospital,Higher standards of care every day.
15,Anderson Hospital,Serving Southwestern Illinois
16,AnMed Health Medical Center,We’re in this together
17,Anne Arundel Medical Center,Living Healthier Together
18,Appling Healthcare System,Care close to home
19,Archbold Memorial Hospital,The care you need. The compassion you deserve.
20,Ardent Health Services,Investing in Quality Care
21,Aria Health,Advanced Medicine. Personal Care.
22,Arkansas Methodist Medical Center,It's all about you
23,Arlington Memorial Hospital,Healing Hands. Caring Hearts.
24,Arnot Ogden Medical Center,Come to expect the best.
25,Aspirus,Passion for excellence. Compassion for people.
26,Athens Regional Medical Center,Where care comes first.
27,Atlanta Medical Center,A Culture of Caring.
28,Atmore Community Hospital,You’ll Love the Way We Care for You
29,Aultman,"Healthier, together."
30,Avoyelles Hospital,Making a difference together.
31,Baptist Easley Hospital,Caring is our calling.
32,Baptist Health Medical Center,All our best
33,Baptist Health of Northeast Florida,Changing Health Care for Good.
34,Baptist Health South Florida,Healthcare That Cares
35,Baptist Hospital,We’re here for life.
36,Baptist Hospital East,Feel better.
37,Baptist Outpatient Services,"Not just better healthcare, but a better healthcare experience."
38,Baptist Medical Center and Wolfson Children’s Hospital,Depend on Us for Life.
39,Baton Rouge General Hospital,A Community of Caring
40,Baycare Alliant Hospital,Helping You Help Your Loved One
41,BayCare Health System,"The Hospital of the Future, Today"
42,Baylor Health Care System,"Serving all people through exemplary health care, education, research and community outreach."
43,Bayonne Medical Center,We’re just better at making you feel better
44,Bayshore Community Hospital,Taking care of New Jersey
45,Beatrice Community Hospital & Health Center,Skilled health care close to home
46,Beauregard Memorial Hospital,Nothing is more important than your health
47,Bergan Mercy Medical Center,This Is Your Healthcare
48,"Beaumont Hospitals, Grosse Point",5-Star Care 
49,Blanchard Valley Regional Health System,We're here for you.
50,Bolivar Medical Center,The right care...right at home.
51,"Bon Secours Health System, Inc.",Good Help to Those in Need
52,Boston Children’s Hospital,Until Every Child is Well
53,Boston Medical Center,Exceptional care. Without exception.
54,Botsford General Hospital,Smaller size. Big results.
55,Brandon Regional Hospital,"Together, performing at a higher standard"
56,Brazosport Regional Health System,The Right Care. Right here.
57,Bristol Hospital,everyday extraordinary
58,Bronx-Lebanon Hospital Center,Doctor to the Community
59,Brookwood Medical Center,Hello Life
60,Broward Health,Powerful Medicine
61,Buchanan General Hospital,"Best of Care, Close to Home"
62,Burke Medical Center,Caring for our community
63,Cadence Health,Engineering the flow of healthcare
64,Calvary Hospital,Where life continues
65,Calvert Memorial Hospital,Tradition. Quality. Progress.
66,Campbell County Memorial Hospital,Dedicated to caring for you
67,Cancer Treatment Centers of America,Care that never quits
68,Candler Hospital,Live smart.
69,Canyon Ridge Hospital,Your center for mental health
70,Cape Fear Valley Medical Center,Transforming healthcare
71,Cape Regional Medical Center,Exceptional Care. Exceptional People.
72,Capella Healthcare,Making health care better. Together.
73,Capital Health System,Minds Advancing Medicine
74,CarePartners Health Services,Exceptional care. Every day. 
75,Carilion Clinic,Inspiring Better Health
76,Carolinas Healthcare System,Uncompromising Excellence. Commitment to Care.
77,CaroMont Health,In Love with Life.
78,Carondelet Health Network,Be well.
79,Carson Valley Medical Center,Your Community Hospital
80,Cascade Valley Hospital,Close to home. Close to heart.
81,Catawba Valley Medical Center,Trust experience. Trust technology. Trust Catawba.
82,Catholic Health East,"A Transforming, Healing Presence"
83,Catholic Health Initiatives,Imagine better health
84,Catholic Health Partners,Partnerships for Health
85,Catholic Medical Center,The center is you
86,Champlain Valley Physicians Hospital Medical Center,A Great Place to Work. A Great Place to Receive Care.
87,Charlotte Hungerford Hospital,One thousand caregivers. One job. Your health.
88,Chelsea Community Hospital,Remarkable medicine. Remarkable care.
89,Children's Healthcare of Atlanta,Dedicated to All Better
90,Children’s of Alabama,Healthcare as amazing as their potential
91,Children’s Hospital Central California,Amazing People. Incredible Care. 
92,Children’s Hospital of Philadelphia,Hope Lives Here
93,Children’s Hospital Los Angeles,We treat kids better
